,LC1,LC2,LC3,sum,cal1,cal2,cal3
0,12.0,2.0,-2.0,1.05,0.091,0.054,0.073
1,67.0,14.0,79.0,10.96,0.091,0.054,0.073
2,79.0,-3.0,189.0,20.72,0.091,0.054,0.073
3,77.0,-4.0,355.0,31.38,0.091,0.054,0.073
4,71.0,-28.0,424.0,35.98,0.091,0.054,0.073
5,68.0,-8.0,382.0,35.36,0.091,0.054,0.073
6,96.0,46.0,218.0,27.0,0.091,0.054,0.073
7,126.0,86.0,46.0,21.53,0.091,0.054,0.073
8,151.0,91.0,-57.0,14.43,0.091,0.054,0.073
9,162.0,81.0,-41.0,15.47,0.091,0.054,0.073
10,159.0,87.0,-52.0,15.31,0.091,0.054,0.073
11,162.0,92.0,-16.0,17.81,0.091,0.054,0.073
12,293.0,-18.0,174.0,31.87,0.091,0.054,0.073
