,LC1,LC2,LC3,sum,cal1,cal2,cal3
0,5.0,4.0,5.0,0.53,0.091,0.054,0.073
1,-6.0,34.0,25.0,2.67,0.091,0.054,0.073
2,1.0,64.0,33.0,6.23,0.091,0.054,0.073
3,-3.0,82.0,23.0,5.71,0.091,0.054,0.073
4,-3.0,61.0,13.0,3.82,0.091,0.054,0.073
5,-8.0,55.0,6.0,2.68,0.091,0.054,0.073
6,-6.0,52.0,14.0,3.39,0.091,0.054,0.073
7,2.0,47.0,13.0,3.66,0.091,0.054,0.073
8,10.0,57.0,15.0,4.85,0.091,0.054,0.073
9,17.0,77.0,20.0,6.5,0.091,0.054,0.073
