,LC1,LC2,LC3,sum,cal1,cal2,cal3
0,-85.0,32.0,4.0,-5.68,0.091,0.054,0.073
1,-187.0,383.0,30.0,2.08,0.091,0.054,0.073
2,-4.0,555.0,63.0,34.15,0.091,0.054,0.073
3,240.0,549.0,18.0,54.24,0.091,0.054,0.073
4,450.0,176.0,-158.0,42.31,0.091,0.054,0.073
5,706.0,-71.0,-350.0,36.24,0.091,0.054,0.073
6,767.0,-83.0,-378.0,37.49,0.091,0.054,0.073
7,662.0,179.0,-278.0,44.85,0.091,0.054,0.073
8,497.0,448.0,-134.0,59.41,0.091,0.054,0.073
9,403.0,626.0,-31.0,67.41,0.091,0.054,0.073
10,395.0,659.0,-5.0,71.15,0.091,0.054,0.073
11,450.0,597.0,-72.0,68.93,0.091,0.054,0.073
12,528.0,531.0,-109.0,68.51,0.091,0.054,0.073
13,518.0,667.0,-73.0,75.0,0.091,0.054,0.073
14,439.0,869.0,62.0,88.78,0.091,0.054,0.073
15,300.0,1097.0,152.0,95.67,0.091,0.054,0.073
16,225.0,1164.0,193.0,97.17,0.091,0.054,0.073
17,313.0,875.0,-30.0,85.84,0.091,0.054,0.073
