,LC1,LC2,LC3,sum,cal1,cal2,cal3
0,10.0,21.0,0.0,1.44,0.091,0.054,0.073
1,63.0,66.0,-3.0,9.12,0.091,0.054,0.073
2,101.0,95.0,5.0,14.63,0.091,0.054,0.073
3,127.0,108.0,-4.0,17.05,0.091,0.054,0.073
4,129.0,119.0,-2.0,17.95,0.091,0.054,0.073
5,125.0,127.0,4.0,18.6,0.091,0.054,0.073
6,142.0,144.0,7.0,21.02,0.091,0.054,0.073
7,158.0,150.0,19.0,23.63,0.091,0.054,0.073
8,165.0,166.0,12.0,24.76,0.091,0.054,0.073
9,171.0,168.0,22.0,26.5,0.091,0.054,0.073
10,154.0,172.0,39.0,26.05,0.091,0.054,0.073
11,150.0,152.0,36.0,24.39,0.091,0.054,0.073
12,161.0,158.0,37.0,25.67,0.091,0.054,0.073
13,168.0,158.0,22.0,25.62,0.091,0.054,0.073
14,176.0,176.0,11.0,26.22,0.091,0.054,0.073
15,180.0,170.0,8.0,26.18,0.091,0.054,0.073
16,163.0,161.0,8.0,24.02,0.091,0.054,0.073
17,170.0,166.0,19.0,25.59,0.091,0.054,0.073
18,168.0,169.0,22.0,25.92,0.091,0.054,0.073
19,188.0,176.0,17.0,27.89,0.091,0.054,0.073
20,184.0,170.0,11.0,26.66,0.091,0.054,0.073
21,176.0,175.0,12.0,26.17,0.091,0.054,0.073
22,164.0,182.0,24.0,26.26,0.091,0.054,0.073
23,158.0,181.0,38.0,26.68,0.091,0.054,0.073
24,159.0,177.0,42.0,26.84,0.091,0.054,0.073
25,175.0,181.0,46.0,28.87,0.091,0.054,0.073
26,181.0,183.0,36.0,28.67,0.091,0.054,0.073
